ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула;Фото 1;Фото 2;Фото 3
722;KD-PD-9713;Обложка для ежедневника Текстура;коричневый;;Единый размер;2 600 ₽;6 500 ₽;15 см;21 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Канцтовары;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a43759554a63_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a437596a2438_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375948fca8_big.jpg
706;KD-PD-9718;Игра домино Текстура;бежевый;;Единый размер;6 200 ₽;15 500 ₽;19,5 см;19,5 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Игры;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375aa6eaed_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375ab2355c_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375ac308d6_big.jpg
706;KD-PD-9718;Игра домино Текстура;черный;;Единый размер;6 200 ₽;15 500 ₽;19,5 см;19,5 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Игры;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375af70c8c_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375af053ff_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375aea342c_big.jpg
708;KD-PD-8768;Игра крестики - нолики Текстура;Черный;;Единый размер;9 000 ₽;22 500 ₽;18 см;18 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Игры;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d62377f_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d4b3831_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d66f135_big.jpg
708;KD-PD-8768;Игра крестики - нолики Текстура;Бежевый;;Единый размер;9 000 ₽;22 500 ₽;18 см;18 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Игры;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d911192_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d88ca9d_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374da090e0_big.jpg
710;KD-PD-8770;Игра шашки Текстура;черный;;Единый размер;13 000 ₽;32 500 ₽;43 см;43 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Игры;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dca3f1b_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dc0d590_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dc5977b_big.jpg
710;KD-PD-8770;Игра шашки Текстура;бежевый;;Единый размер;13 000 ₽;32 500 ₽;43 см;43 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Игры;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374e02ae19_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374dfdefdc_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374e0c1c13_big.jpg
715;KD-PD-8765;Корзина Текстура;коричневый;;25 см;8 840 ₽;22 100 ₽;25 см;10 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Корзины;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/689209814dad6_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68b99b6eca2ab_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/68b99b76b5837_big.jpg
716;KD-PD-8765;Корзина Текстура;черный;;18 см;15 960 ₽;39 900 ₽;18 см;18 см;;;;натуральная кожа;;;Текстура;;Декор для дома;Корзины;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d0b98ff_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374cf781d5_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374d102510_big.jpg
723;KD-PD-8777;Плейсмат Текстура;черный;;30 см;3 960 ₽;9 900 ₽;;;;;;натуральная кожа;;;Текстура;;Столовый текстиль;Плейсматы;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f158e23_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f0beb87_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f1105ec_big.jpg
723;KD-PD-8777;Плейсмат Текстура;коричневый;;30 см;3 960 ₽;9 900 ₽;;;;;;натуральная кожа;;;Текстура;;Столовый текстиль;Плейсматы;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f54239a_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f4002a5_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f616f88_big.jpg
723;KD-PD-8777;Плейсмат Текстура;бежевый;;30 см;3 960 ₽;9 900 ₽;;;;;;натуральная кожа;;;Текстура;;Столовый текстиль;Плейсматы;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374fa6a51e_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374f92306f_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374fb39b0a_big.jpg
726;KD-PD-9711;Поднос Текстура;черный;;Единый размер;11 800 ₽;29 500 ₽;;;;;;натуральная кожа;;;Текстура;;Посуда и сервировка;Блюда и подача;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a58e99971c7c_big.jpg;;
727;KD-PD-8776;Подставка под бокал Текстура;коричневый;;9 см;596 ₽;1 490 ₽;;9 см;;;;натуральная кожа;;;Текстура;;Посуда и сервировка;Блюда и подача;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374ed2e7de_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374ec602a8_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374ece2ae6_big.jpg
728;KD-PD-8758;Салфетница Текстура;черный;;12х12 см;5 040 ₽;12 600 ₽;12 см;12 см;;;;натуральная кожа;;;Текстура;;Посуда и сервировка;Салфетницы;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374b928bc8_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374b8dde46_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374b96af6c_big.jpg
728;KD-PD-8758;Салфетница Текстура;коричневый;;12х12 см;5 040 ₽;12 600 ₽;12 см;12 см;;;;натуральная кожа;;;Текстура;;Посуда и сервировка;Салфетницы;Теплый брутализм;;;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374bb5d537_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374bb235bf_big.jpg;https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374bb9a097_big.jpg
